# Mon Aug 25 13:55:39 2014
#
# Cooling Map File
#
# Loop values:
# hden -0.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
5.90  -24.8792  -26.2582  -25.0669  -25.3686  -23.9617  -24.2647  -27.8406  -29.2756  -29.4598  -35.5560  -30.9951  -32.0955  -27.7954  -28.0996  -304.6526  -304.6526
6.00  -25.0325  -26.3898  -25.3777  -25.6794  -24.2186  -24.5217  -28.3652  -29.8282  -30.0124  -37.0295  -32.3083  -33.4492  -28.9270  -29.2312  -304.6526  -304.6526
6.10  -25.1822  -26.5191  -25.8743  -26.1760  -24.3861  -24.6892  -29.0576  -30.5470  -30.7311  -304.6526  -33.8283  -35.0110  -30.2784  -30.5826  -304.6526  -304.6526
6.20  -25.3288  -26.6463  -26.5157  -26.8174  -24.5207  -24.8239  -29.8785  -31.3928  -31.5769  -304.6526  -35.6149  -36.8419  -31.9084  -32.2127  -304.6526  -304.6526
6.30  -25.4730  -26.7721  -27.2003  -27.5020  -24.7244  -25.0277  -30.7288  -32.2670  -32.4510  -304.6526  -37.8591  -304.6526  -33.9672  -34.2715  -304.6526  -304.6526
6.40  -25.6151  -26.8970  -27.8660  -28.1678  -25.0880  -25.3913  -31.5493  -33.1105  -33.2945  -304.6526  -41.0895  -304.6526  -36.2527  -36.5571  -304.6526  -304.6526
6.50  -25.7558  -27.0216  -28.4894  -28.7911  -25.6213  -25.9247  -32.3190  -33.9026  -34.0865  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
6.60  -25.8955  -27.1462  -29.0798  -29.3816  -26.2460  -26.5493  -33.0568  -34.6551  -34.8391  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
6.70  -26.0347  -27.2714  -29.6413  -29.9431  -26.8796  -27.1829  -33.7644  -35.3741  -35.5580  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
6.80  -26.1736  -27.3974  -30.1724  -30.4741  -27.4826  -27.7859  -34.4387  -36.0595  -36.2434  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
6.90  -26.3126  -27.5244  -30.6820  -30.9837  -28.0545  -28.3578  -35.0890  -36.7205  -36.9043  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.00  -26.4520  -27.6528  -31.1731  -31.4748  -28.5957  -28.8991  -35.7194  -37.3614  -37.5452  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.10  -26.5918  -27.7826  -31.6485  -31.9502  -29.1051  -29.4085  -36.3324  -37.9847  -38.1685  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.20  -26.7324  -27.9140  -32.1081  -32.4098  -29.5899  -29.8932  -36.9070  -38.5695  -38.7533  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.30  -26.8738  -28.0469  -32.5568  -32.8586  -30.0529  -30.3563  -40.3393  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.40  -27.0160  -28.1814  -32.9967  -33.2985  -30.4966  -30.8000  -40.8949  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.50  -27.1592  -28.3174  -33.4288  -33.7305  -30.9215  -31.2249  -41.4419  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.60  -27.3032  -28.4548  -33.8557  -34.1575  -31.3321  -31.6355  -41.9834  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.70  -27.4481  -28.5937  -34.2790  -34.5807  -31.7305  -32.0339  -42.5207  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.80  -27.5895  -28.7296  -34.6950  -34.9968  -32.1137  -32.4171  -43.0504  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
7.90  -27.7403  -28.8753  -35.1186  -35.4204  -32.4974  -32.8008  -43.5871  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
8.00  -27.8877  -29.0178  -35.5376  -35.8393  -32.8703  -33.1737  -44.1189  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526  -304.6526
