# Mon Aug 25 14:14:02 2014
#
# Cooling Map File
#
# Loop values:
# hden 1.5
#
# Data Columns:
# log10 Te [K]
# log10 Emissivities / n_H^2 [erg s^-1 cm^3]
#
#Te   H__1_1216  H__1_6563  C__4_1548  C__4_1551  O__6_1032  O__6_1038  C__3_977  C__3_1907  C__3_1910  Si_2_1814  Si_3_1207  Si_3_1883  Si_4_1394  Si_4_1403  Mg_2_2796  Mg_2_2803
5.90  -24.8784  -26.2582  -25.0669  -25.3685  -23.9617  -24.2647  -27.8405  -29.2756  -29.4597  -35.5562  -30.9951  -32.0955  -27.7954  -28.0995  -308.6526  -308.6526
6.00  -25.0317  -26.3898  -25.3777  -25.6793  -24.2186  -24.5216  -28.3651  -29.8282  -30.0123  -37.0215  -32.3083  -33.4492  -28.9270  -29.2312  -308.6526  -308.6526
6.10  -25.1815  -26.5191  -25.8743  -26.1760  -24.3861  -24.6892  -29.0576  -30.5470  -30.7311  -38.8662  -33.8283  -35.0110  -30.2783  -30.5826  -308.6526  -308.6526
6.20  -25.3282  -26.6463  -26.5157  -26.8174  -24.5207  -24.8239  -29.8785  -31.3928  -31.5769  -308.6526  -35.6148  -36.8418  -31.9084  -32.2127  -308.6526  -308.6526
6.30  -25.4724  -26.7721  -27.2003  -27.5020  -24.7244  -25.0277  -30.7288  -32.2670  -32.4510  -308.6526  -38.8403  -308.6526  -33.9672  -34.2715  -308.6526  -308.6526
6.40  -25.6145  -26.8970  -27.8660  -28.1678  -25.0880  -25.3913  -31.5493  -33.1105  -33.2945  -308.6526  -41.0899  -308.6526  -36.2532  -36.5575  -308.6526  -308.6526
6.50  -25.7553  -27.0215  -28.4894  -28.7911  -25.6213  -25.9247  -32.3190  -33.9026  -34.0865  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
6.60  -25.8950  -27.1462  -29.0798  -29.3816  -26.2460  -26.5493  -33.0568  -34.6552  -34.8391  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
6.70  -26.0342  -27.2714  -29.6413  -29.9431  -26.8796  -27.1829  -33.7643  -35.3741  -35.5580  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
6.80  -26.1732  -27.3974  -30.1724  -30.4741  -27.4826  -27.7859  -34.4385  -36.0592  -36.2431  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
6.90  -26.3122  -27.5244  -30.6820  -30.9837  -28.0545  -28.3578  -35.0894  -36.7209  -36.9047  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.00  -26.4516  -27.6528  -31.1731  -31.4748  -28.5957  -28.8991  -35.7171  -37.3591  -37.5429  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.10  -26.5915  -27.7826  -31.6485  -31.9502  -29.1051  -29.4085  -36.3338  -37.9861  -38.1699  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.20  -26.7321  -27.9140  -32.1081  -32.4098  -29.5899  -29.8932  -36.9533  -38.6158  -38.7996  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.30  -26.8735  -28.0469  -32.5568  -32.8586  -30.0529  -30.3563  -40.3393  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.40  -27.0158  -28.1813  -32.9967  -33.2985  -30.4966  -30.8000  -40.8949  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.50  -27.1589  -28.3174  -33.4288  -33.7305  -30.9215  -31.2249  -41.4420  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.60  -27.3030  -28.4548  -33.8557  -34.1575  -31.3321  -31.6355  -41.9834  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.70  -27.4479  -28.5937  -34.2790  -34.5807  -31.7305  -32.0339  -42.5207  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.80  -27.5893  -28.7296  -34.6951  -34.9969  -32.1137  -32.4171  -43.0505  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
7.90  -27.7402  -28.8753  -35.1186  -35.4203  -32.4974  -32.8008  -43.5871  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
8.00  -27.8875  -29.0178  -35.5370  -35.8388  -32.8703  -33.1737  -44.1183  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526  -308.6526
